Webwork Section,Link,Webwork key,DoenetId,parentDoenetId,Level 1,Level 2,Level 3,Level 4,Level 5,
Domain and range,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD7/_MGFXK31CpRujOUxuEozAW,6d,_MGFXK31CpRujOUxuEozAW,_oUIAuz2c4JdxNw4WupaD7,,"7. BA-Functions - domain of rational fn, sqrt in denominator",,,,
Domain and range,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD8/_XePzTvv0kSOdy0Cnt4ZUn,6d,_XePzTvv0kSOdy0Cnt4ZUn,_oUIAuz2c4JdxNw4WupaD8,,"8. BA-Functions - domain of rational fn, sqrt in denominator",,,,
Domain and range,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD9/_ndnxetoHiPWXzRCpBBLLf,6d,_ndnxetoHiPWXzRCpBBLLf,_oUIAuz2c4JdxNw4WupaD9,,"9. BA-Functions - domain of rational fn, sqrt in denominator",,,,
Domain and range,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD10/_u0yDaPumwCrMmYHM8GSDh,6d,_u0yDaPumwCrMmYHM8GSDh,_oUIAuz2c4JdxNw4WupaD10,,"10. BA-Functions - domain of rational fn, sqrt in denominator",,,,
#N/A,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD11/_2x68X7nN6utbD23z7VHxD,,_2x68X7nN6utbD23z7VHxD,_oUIAuz2c4JdxNw4WupaD11,,Problem 11: BA-Functions,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD12/_Qaqd28k1Yo6N7SSQVKyig,,_Qaqd28k1Yo6N7SSQVKyig,_oUIAuz2c4JdxNw4WupaD12,,Problem 12: BA-Functions,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD13/_DentrwjrwPN96kIUYDz4r,,_DentrwjrwPN96kIUYDz4r,_oUIAuz2c4JdxNw4WupaD13,,Problem 13: BA-Functions,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD14/_VTy8GTbBin2SaNp2vf71x,,_VTy8GTbBin2SaNp2vf71x,_oUIAuz2c4JdxNw4WupaD14,,Problem 14: BA-Functions,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD15/_lfBSBnpRIpCIeGL6PzePI,,_lfBSBnpRIpCIeGL6PzePI,_oUIAuz2c4JdxNw4WupaD15,,Problem 15: BA-Functions,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD16/_VQ4CoCVoh21rBz9bFDR0F,,_VQ4CoCVoh21rBz9bFDR0F,_oUIAuz2c4JdxNw4WupaD16,,Problem 16: BA-Functions,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD17/_nowL7KHvqD0KzNeaHduhj,,_nowL7KHvqD0KzNeaHduhj,_oUIAuz2c4JdxNw4WupaD17,,Problem 17: BA-Functions,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD18/_mrC6VoFvmPC2pDIoNYixU,,_mrC6VoFvmPC2pDIoNYixU,_oUIAuz2c4JdxNw4WupaD18,,Problem 18: BA-Functions,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD19/_p4GHTm2gBzIoGDvn89MKE,,_p4GHTm2gBzIoGDvn89MKE,_oUIAuz2c4JdxNw4WupaD19,,Problem 19: BA-Functions,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD20/_B19cgFMrOx7Tl48FgHx6x,,_B19cgFMrOx7Tl48FgHx6x,_oUIAuz2c4JdxNw4WupaD20,,Problem 20: BA-Functions,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD21/_nb61T68EoAhq1A7wJnVnd,,_nb61T68EoAhq1A7wJnVnd,_oUIAuz2c4JdxNw4WupaD21,,Problem 21: BA-Functions,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD22/_oAw5YDTMdNwMKkkGWSVwk,,_oAw5YDTMdNwMKkkGWSVwk,_oUIAuz2c4JdxNw4WupaD22,,Problem 22: BA-Functions,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD23/_ZTk47BCG7Ws2SzeR5eB25,,_ZTk47BCG7Ws2SzeR5eB25,_oUIAuz2c4JdxNw4WupaD23,,Problem 23: BA-Functions,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD24/_QMBKbrR6XvwKPtDJU4OQD,,_QMBKbrR6XvwKPtDJU4OQD,_oUIAuz2c4JdxNw4WupaD24,,Problem 24: BA-Functions,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD25/_Nw0AniH6umzOc7HLxnPlQ,,_Nw0AniH6umzOc7HLxnPlQ,_oUIAuz2c4JdxNw4WupaD25,,Problem 25: BA-Functions,,,,
Compositions and combinations of functions,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD26/_zJF8Eqvv2xHFGfZZs1O8T,"6f, 6b",_zJF8Eqvv2xHFGfZZs1O8T,_oUIAuz2c4JdxNw4WupaD26,,26: BA-Functions - sum of two functions evaluated at distinct inputs,,,,
Function notation,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD27/_KFdfckKZZKBReeo116BrI,6b,_KFdfckKZZKBReeo116BrI,_oUIAuz2c4JdxNw4WupaD27,,27. BA-Functions - evaluate a linear function at a given input,,,,
Function notation,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD28/_Fd2uULxmd1BnHt7ntS32I,6b,_Fd2uULxmd1BnHt7ntS32I,_oUIAuz2c4JdxNw4WupaD28,,28. BA-Functions - evaluate a quadratic function at a given input,,,,
Function notation,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD29/_13rg5KFnipx90OC3cFhGQ,6b,_13rg5KFnipx90OC3cFhGQ,_oUIAuz2c4JdxNw4WupaD29,,29. BA-Functions - evaluate a linear function at a given input,,,,
Function notation,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD30/_yYlRJ540jtdqYnGlUGGpT,6b,_yYlRJ540jtdqYnGlUGGpT,_oUIAuz2c4JdxNw4WupaD30,,30. BA-Functions - evaluate a quadratic function,,,,
Function notation,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD31/_yfJd6F6YZW6w4C12bsfsm,6b,_yfJd6F6YZW6w4C12bsfsm,_oUIAuz2c4JdxNw4WupaD31,,31: BA-Functions - evaluate a rational function with linear terms,,,,
Function notation,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD32/_0xcgoagBLKMnqZyAu6Kmu,6b,_0xcgoagBLKMnqZyAu6Kmu,_oUIAuz2c4JdxNw4WupaD32,,32. BA-Functions - evaluate a factored quadratic function,,,,
Compositions and combinations of functions,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD33/_icaZtToRT6fFS0pTdlkE7,6f,_icaZtToRT6fFS0pTdlkE7,_oUIAuz2c4JdxNw4WupaD33,,33. BA-Functions - rearrange a function in terms of a substitution variable,,,,
Finding the inverse function,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD34/_2IMifTPbtJVDyS5Db4LxT,16b,_2IMifTPbtJVDyS5Db4LxT,_oUIAuz2c4JdxNw4WupaD34,,34. BA-Functions - Inverse of a linear function - multiple choice,,,,
Domain and range,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD35/_h3Co5OUvL33PzYGpgIAg6,6d,_h3Co5OUvL33PzYGpgIAg6,_oUIAuz2c4JdxNw4WupaD35,,35. BA-Functions - domain of a half-circle,,,,
Domain and range,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD36/_w50I88S09Li6eCbGo3aHT,6d,_w50I88S09Li6eCbGo3aHT,_oUIAuz2c4JdxNw4WupaD36,,36. BA-Functions - range of a half-circle,,,,
Domain and range,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD37/_JKAOHmehji0CXPRlVSfwe,6d,_JKAOHmehji0CXPRlVSfwe,_oUIAuz2c4JdxNw4WupaD37,,37. BA-Functions - domain of a parabola,,,,
Domain and range,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD38/_iHfhxlKWLwu9IkONzmK9P,6d,_iHfhxlKWLwu9IkONzmK9P,_oUIAuz2c4JdxNw4WupaD38,,38. BA-Functions - range of a parabola,,,,
Domain and range,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD39/_RiFPJ0mGTodKVkFYtW55K,6d,_RiFPJ0mGTodKVkFYtW55K,_oUIAuz2c4JdxNw4WupaD39,,39. BA-Fns: Mult-choice find domain,,,,
Finding the inverse function,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD40/_OgXnfGQu3r4wqfeuWqcbM,16b,_OgXnfGQu3r4wqfeuWqcbM,_oUIAuz2c4JdxNw4WupaD40,,40. BA-Fns: Mult-choice find inverse,,,,
Compositions and combinations of functions,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD41/_12f5eHrToZp0zw571WzFq,6f,_12f5eHrToZp0zw571WzFq,_oUIAuz2c4JdxNw4WupaD41,,41. BA-Fns: Mult-choice function composition,,,,
Finding the inverse function,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD42/_f6F9Nv3Xjgb1EcHiVoSrA,16b,_f6F9Nv3Xjgb1EcHiVoSrA,_oUIAuz2c4JdxNw4WupaD42,,42. BA-Functions - compute inverse of a linear function,,,,
Finding the inverse function,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD43/_Wt1r2yAKvRwgPb7P03gLm,16b,_Wt1r2yAKvRwgPb7P03gLm,_oUIAuz2c4JdxNw4WupaD43,,43. BA-Functions - inverse of a rational function,,,,
Graphs,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD44/_lveyG2SaHyWDJBhpsZj49,6c,_lveyG2SaHyWDJBhpsZj49,_oUIAuz2c4JdxNw4WupaD44,,44. BA-Functions - Increasing or decreasing at a given input,,,,
Graphs,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD45/_rjYkvwbu2VtD6liHZdGyP,6c,_rjYkvwbu2VtD6liHZdGyP,_oUIAuz2c4JdxNw4WupaD45,,45. BA-Functions - Increasing or decreasing at a given input,,,,
Finding the inverse function,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD46/_4fsRI310ozmtOCXQaAkgP,16b,_4fsRI310ozmtOCXQaAkgP,_oUIAuz2c4JdxNw4WupaD46,,46. BA-Functions - inverse of a square root function,,,,
Finding the inverse function,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD47/_Jj7EHbzRbtHItk3wDE3sY,16b,_Jj7EHbzRbtHItk3wDE3sY,_oUIAuz2c4JdxNw4WupaD47,,47. BA-Functions - inverse of a square root function,,,,
Compositions and combinations of functions,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD48/_3j9rane0WvL4xYPlhmuLu,6f,_3j9rane0WvL4xYPlhmuLu,_oUIAuz2c4JdxNw4WupaD48,,48. BA-Fns: function composition evaluated at given input,,,,
Piecewise functions,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD49/_BAqETwFJfZGvA4Ax5QG6I,6e,_BAqETwFJfZGvA4Ax5QG6I,_oUIAuz2c4JdxNw4WupaD49,,49. BA-Fns: Evaluate a piecewise fn at 3 given inputs,,,,
Piecewise functions,https://www.doenet.org/courseactivityeditor/_oUIAuz2c4JdxNw4WupaD50/_f8aob79eIYrXF0UX8PThT,6e,_f8aob79eIYrXF0UX8PThT,_oUIAuz2c4JdxNw4WupaD50,,50. BA-Fns: Evaluate a piecewise fn at 3 given inputs,,,,
#N/A,https://www.doenet.org/courseactivityeditor//_mUrJugWKbpu5eUl4pnbBB,,_mUrJugWKbpu5eUl4pnbBB,,BA-MultChoice,,,,,
Simplify rational expressions,https://www.doenet.org/courseactivityeditor/_mUrJugWKbpu5eUl4pnbBB/_8FjabcR8EZQLmYLl3uV8j,10f,_8FjabcR8EZQLmYLl3uV8j,_mUrJugWKbpu5eUl4pnbBB,,1. BA-MultChoice - simplify complex fraction,,,,
Linear systems,https://www.doenet.org/courseactivityeditor/_mUrJugWKbpu5eUl4pnbBB/_0LhAHxaMclYYD13HO0qdm,13a,_0LhAHxaMclYYD13HO0qdm,_mUrJugWKbpu5eUl4pnbBB,,2. BA-MultChoice - intersection of lines,,,,
Simplifying expressions,https://www.doenet.org/courseactivityeditor/_mUrJugWKbpu5eUl4pnbBB/_yVhXDE7DPBDZq5KqW9IrU,1e,_yVhXDE7DPBDZq5KqW9IrU,_mUrJugWKbpu5eUl4pnbBB,,3. BA-MultChoice - expanding polynomials,,,,
#N/A,https://www.doenet.org/courseactivityeditor//_5OujyNrm9vBCqqabUmarK,,_5OujyNrm9vBCqqabUmarK,,BA-RatExp,,,,,
#N/A,https://www.doenet.org/courseactivityeditor//_B4GfGa9u2NOMFTxhICLxh,,_B4GfGa9u2NOMFTxhICLxh,,BA-Conics,,,,,
#N/A,https://www.doenet.org/courseactivityeditor//_z43LODyB9X7t1VGOQT0Ac,,_z43LODyB9X7t1VGOQT0Ac,,TR-Conics,,,,,
Circles,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_w0chdg1OsN19ymo7Iofxq,19b,_w0chdg1OsN19ymo7Iofxq,_z43LODyB9X7t1VGOQT0Ac,,"1. TR-Conics: Given equation of a circle in standard form, find center and radius",,,,
Circles,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_21vnSR30tLmYOerKR0ceA,19b,_21vnSR30tLmYOerKR0ceA,_z43LODyB9X7t1VGOQT0Ac,,"2. TR-Conics: Given the graph of a circle, determine h,k,r",,,,
Circles,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_GB7RW4ByTPLiF8BJ7zVaH,19b,_GB7RW4ByTPLiF8BJ7zVaH,_z43LODyB9X7t1VGOQT0Ac,,"3: TR-Conics - find h,k, r of a circle in normalized standard form",,,,
Circles,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_Y7f6mEXtiqpcUB42JRblQ,19b,_Y7f6mEXtiqpcUB42JRblQ,_z43LODyB9X7t1VGOQT0Ac,,4. TR-Conics - determine center of circle given equation,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_ja006a8jZj6ZwVYIJTJ48,,_ja006a8jZj6ZwVYIJTJ48,_z43LODyB9X7t1VGOQT0Ac,,Problem 5: TR-Conics,,,,
Circles,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_WrvvKkqgbno3YloiqypWT,19b,_WrvvKkqgbno3YloiqypWT,_z43LODyB9X7t1VGOQT0Ac,,6. TR-Conics - match equation of circle to graph - T or F,,,,
Circles,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_1mwdRJt3pea5MnFGqMzb3,19b,_1mwdRJt3pea5MnFGqMzb3,_z43LODyB9X7t1VGOQT0Ac,,7. TR-Conics - match equation of circle to graph - T or F,,,,
Ellipses,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_6KCvtQHCg6hthqQBQ63n8,19c,_6KCvtQHCg6hthqQBQ63n8,_z43LODyB9X7t1VGOQT0Ac,,8: TR-Conics - determine parameters from graph of an ellipse,,,,
Ellipses,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_huvzLcqMDjq0vh1NHb2Ji,19c,_huvzLcqMDjq0vh1NHb2Ji,_z43LODyB9X7t1VGOQT0Ac,,"9: TR-Conics - given graph of ellipse with critical points, determine parameters",,,,
Ellipses,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_nylkwWXoG2ZcjrDOjG63V,19c,_nylkwWXoG2ZcjrDOjG63V,_z43LODyB9X7t1VGOQT0Ac,,"10: TR-Conics - given normalized equation of an ellipse, determine parameters",,,,
Ellipses,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_8KpfImhvRlTts83R3SoYZ,19c,_8KpfImhvRlTts83R3SoYZ,_z43LODyB9X7t1VGOQT0Ac,,"11: TR-Conics - Given equation of an ellipse, determine parameters",,,,
Intersections of conics,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_7OkC04QmJIA9euIBEua65,19e,_7OkC04QmJIA9euIBEua65,_z43LODyB9X7t1VGOQT0Ac,,12. TR-Conics - Intersection of line with ellipse - single variant,,,,
Intersections of conics,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_Zg0sl6td2lBKqW0btwSTt,19e,_Zg0sl6td2lBKqW0btwSTt,_z43LODyB9X7t1VGOQT0Ac,,13. TR-Conics -  Intersection of line with ellipse - single variant,,,,
Parabolas,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_nJzaAlSBJcrCSCQrava1G,19a,_nJzaAlSBJcrCSCQrava1G,_z43LODyB9X7t1VGOQT0Ac,,14. TR-Conics: write equation in vertex form given graph of a parabola,,,,
Parabolas,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_NSB7xwQSUtxt0mCcQFwih,19a,_NSB7xwQSUtxt0mCcQFwih,_z43LODyB9X7t1VGOQT0Ac,,15: TR-Conics - determine equation from graph of horizontal parabola - vertex form,,,,
Parabolas,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_4Lg6v5kmytRPamMTnJAGZ,19a,_4Lg6v5kmytRPamMTnJAGZ,_z43LODyB9X7t1VGOQT0Ac,,16. TR-Conics: write equation in vertex form given graph of a parabola,,,,
Parabolas,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_b0lkxx0dgC6GYTaRT1NtA,19a,_b0lkxx0dgC6GYTaRT1NtA,_z43LODyB9X7t1VGOQT0Ac,,17: TR-Conics - Determine equation given graph of horizontal parabola in vertex form,,,,
Inequalities,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_hLGWJPh5Vl94vXrTDAKOW,"9h, 19a",_hLGWJPh5Vl94vXrTDAKOW,_z43LODyB9X7t1VGOQT0Ac,,18. TR-Conics - find x-coordinate of vertex of a parabola,,,,
Hyperbolas,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_NcPfr2hdOFJKvAVnGIG3C,19d,_NcPfr2hdOFJKvAVnGIG3C,_z43LODyB9X7t1VGOQT0Ac,,Problem 19: TR-Conics - hyperbola given graph determine equation parameters,,,,
Hyperbolas,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_ok3SU6WLGpgkeNPsVfT5t,19d,_ok3SU6WLGpgkeNPsVfT5t,_z43LODyB9X7t1VGOQT0Ac,,Problem 20: TR-Conics - hyperbola given graph determine equation parameters,,,,
Circles,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_qaInQLSBBNsLsDDKQsxoA,19b,_qaInQLSBBNsLsDDKQsxoA,_z43LODyB9X7t1VGOQT0Ac,,21. TR-Conics: complete the square to find center and radius of a circle,,,,
Ellipses,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_UKqAk10CaavbwXvhNiuyP,19c,_UKqAk10CaavbwXvhNiuyP,_z43LODyB9X7t1VGOQT0Ac,,22. TR-Conics - complete the square to write ellipse in standard form,,,,
Completing the square,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_QuhqJm3hv9eIZMPQGeGx7,"9b, 19a",_QuhqJm3hv9eIZMPQGeGx7,_z43LODyB9X7t1VGOQT0Ac,,23. TR-Conics - complete the square to write equation of parabola in vertex form,,,,
Hyperbolas,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_6GQ8cfN9nP3fC15HJUTTX,19d,_6GQ8cfN9nP3fC15HJUTTX,_z43LODyB9X7t1VGOQT0Ac,,24. TR-Conics - complete the square - hyperbola in standard form,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_uDYb2qs7f8wau2KNXzYpC,,_uDYb2qs7f8wau2KNXzYpC,_z43LODyB9X7t1VGOQT0Ac,,Problem 25: TR-Conics,,,,
Parabolas,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_7QOKCyMaZYBVUQz0waQdv,"19a, 9b",_7QOKCyMaZYBVUQz0waQdv,_z43LODyB9X7t1VGOQT0Ac,,26: TR-Conics - rewrite quadratic by completing the square,,,,
Parabolas,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_KlRNyZ0GnnrSOp83FuU30,"19a, 9b",_KlRNyZ0GnnrSOp83FuU30,_z43LODyB9X7t1VGOQT0Ac,,27: TR-Conics - rewrite quadratic by completing the square - a not 1,,,,
Parabolas,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_N07vMSYdF6WxeejRcrzlD,"19a, 9b",_N07vMSYdF6WxeejRcrzlD,_z43LODyB9X7t1VGOQT0Ac,,28: TR-Conics - find final term to make a perfect square,,,,
Parabolas,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_CjwYPrxeEdWhFU9OzCq59,"19a, 9b",_CjwYPrxeEdWhFU9OzCq59,_z43LODyB9X7t1VGOQT0Ac,,29: TR-Conics - find final term to make a perfect square - a not 1,,,,
Parabolas,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_Nqd4mCxcd89MG7whcUj5f,"19a, 19b, 19c",_Nqd4mCxcd89MG7whcUj5f,_z43LODyB9X7t1VGOQT0Ac,,30. TR-Conics - select shape of conic given equation,,,,
Polar or parametric form,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_J2YX9BGOnS7k9k3jcRKnV,"19f, 8k",_J2YX9BGOnS7k9k3jcRKnV,_z43LODyB9X7t1VGOQT0Ac,,Problem 31: TR-Conics - parametric equation of a line segment,,,,
Polar or parametric form,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_4QMT1cixCJJT56kYtA1Cu,19f,_4QMT1cixCJJT56kYtA1Cu,_z43LODyB9X7t1VGOQT0Ac,,Problem 32: TR-Conics - parametric equation of an ellipse,,,,
Polar or parametric form,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_D7582WTCYELT9e0W8dgbz,19f,_D7582WTCYELT9e0W8dgbz,_z43LODyB9X7t1VGOQT0Ac,,Problem 33: TR-Conics - parametric equation of a cycloid,,,,
Intersections of conics,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_ivLcPsqm5dxDM19uEGFMG,19e,_ivLcPsqm5dxDM19uEGFMG,_z43LODyB9X7t1VGOQT0Ac,,Problem 34: TR-Conics - Find intersection of a parabola with a line,,,,
Intersections of conics,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_vhb3ZFmQXDnufxwJFTjqb,19e,_vhb3ZFmQXDnufxwJFTjqb,_z43LODyB9X7t1VGOQT0Ac,,Problem 35: TR-Conics - find the intersections of a circle with a line,,,,
Intersections of conics,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_R3DN6p325T50CTclhbSMg,19e,_R3DN6p325T50CTclhbSMg,_z43LODyB9X7t1VGOQT0Ac,,Problem 36: TR-Conics - circle parabola intersection,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_ziS8A02W4u7OYLHN45lcH,,_ziS8A02W4u7OYLHN45lcH,_z43LODyB9X7t1VGOQT0Ac,,Problem 37: TR-Conics - future - circle parabola intersection with variants,,,,
#N/A,https://www.doenet.org/courseactivityeditor//_oR0Vb4HVewnbzk7sudjkq,,_oR0Vb4HVewnbzk7sudjkq,,TR-SysOfEq,,,,,
Linear systems,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_fusBN8IQgIsx3RzsUKuCQ,13a,_fusBN8IQgIsx3RzsUKuCQ,_oR0Vb4HVewnbzk7sudjkq,,1. TR-SysOfEq: find solution to 2x2 system,,,,
Linear systems,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_lQMD2dX5H9t4JuJBmmqpC,13a,_lQMD2dX5H9t4JuJBmmqpC,_oR0Vb4HVewnbzk7sudjkq,,2. TR-SysOfEq: find solution to 2x2 system,,,,
Linear systems,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_3DDmvIob4qCxKCkvSdoTj,13a,_3DDmvIob4qCxKCkvSdoTj,_oR0Vb4HVewnbzk7sudjkq,,3. TR-SysOfEq: find solution to 2x2 system,,,,
Linear systems,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_dZDIt03kE9I5tTbtUUkGP,13a,_dZDIt03kE9I5tTbtUUkGP,_oR0Vb4HVewnbzk7sudjkq,,4: TR-SysOfEq - find sol to 2x2 system,,,,
Linear systems,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_UyqPmbRVIJRRkTJnvHw4Q,13a,_UyqPmbRVIJRRkTJnvHw4Q,_oR0Vb4HVewnbzk7sudjkq,,5: TR-SysOfEq - find number of sols to a 2x2,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_fabmUuT5ftZ4vATFdgQUm,,_fabmUuT5ftZ4vATFdgQUm,_oR0Vb4HVewnbzk7sudjkq,,5a: TR-SysOfEq - variant a of 5,ignore for library,,,
#N/A,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_Wcq7tUGqpoFYO3xPa3WAg,,_Wcq7tUGqpoFYO3xPa3WAg,_oR0Vb4HVewnbzk7sudjkq,,5b. TR-SysOfEq: - variant b of 5,ignore for library,,,
Linear systems,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_JqPf4fXXPFI8jsKpY6fOy,13a,_JqPf4fXXPFI8jsKpY6fOy,_oR0Vb4HVewnbzk7sudjkq,,6: TR-SysOfEq - find number of sols to a 2x2,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_wPvUteebPczlf72MRAYJq,,_wPvUteebPczlf72MRAYJq,_oR0Vb4HVewnbzk7sudjkq,,6a: TR-SysOfEq - variant a of 6,ignore for library,,,
#N/A,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_I1L5HidoU7gV9gTaal7tM,,_I1L5HidoU7gV9gTaal7tM,_oR0Vb4HVewnbzk7sudjkq,,6b. TR-SysOfEq - variant b of 6,ignore for library,,,
