Webwork Section,Link,Webwork key,DoenetId,parentDoenetId,Level 1,Level 2,Level 3,Level 4,Level 5,
Factoring by grouping,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_2YhjAXrnaqN0MdGYo9h5G,5b,_2YhjAXrnaqN0MdGYo9h5G,_Jf7QD0G0X3t4g650OVkgc,,Problem 23: BA-Basics,,,,
Factoring by grouping,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_i2ABNwsYfyCcegHGXVLz6,5b,_i2ABNwsYfyCcegHGXVLz6,_Jf7QD0G0X3t4g650OVkgc,,Problem 24: BA-Basics,,,,
Factoring by grouping,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_szPV8nAsWje5Ua5FkWfVK,5b,_szPV8nAsWje5Ua5FkWfVK,_Jf7QD0G0X3t4g650OVkgc,,Problem 25: BA-Basics,,,,
Factoring by grouping,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_3zgWEXvdJWnJkCgHC1U9l,5b,_3zgWEXvdJWnJkCgHC1U9l,_Jf7QD0G0X3t4g650OVkgc,,Problem 26: BA-Basics,,,,
Simplifying expressions,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_3rWRJWbhqgOp4dfOPZCtH,"1e, 15a",_3rWRJWbhqgOp4dfOPZCtH,_Jf7QD0G0X3t4g650OVkgc,,27. BA-Basics - reduce a numerical fraction with common factors (version 1),,,,
Simplifying expressions,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_xtrd5Y8TvfftglLm6u9Wv,"1e, 15a",_xtrd5Y8TvfftglLm6u9Wv,_Jf7QD0G0X3t4g650OVkgc,,28. BA-Basics - reduce a numerical fraction with common factors (version 2),,,,
Simplifying expressions,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_pxVc1jhXjUlByKk62VHQo,"1e, 15a",_pxVc1jhXjUlByKk62VHQo,_Jf7QD0G0X3t4g650OVkgc,,29: BA-Basics - multiply then reduce,,,,
Simplifying expressions,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_7LRGIbrd4L8LOIZYSaVl1,"1e, 15a",_7LRGIbrd4L8LOIZYSaVl1,_Jf7QD0G0X3t4g650OVkgc,,30. BA-Basics - divide then reduce,,,,
Simplifying expressions,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_jFbuLilxomcve5Mxi62a1,"1e, 15a",_jFbuLilxomcve5Mxi62a1,_Jf7QD0G0X3t4g650OVkgc,,31. BA-Basics - add fractions then simplify,,,,
Simplifying expressions,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_LVq07kSMaKqIVn0me1NpY,"1e, 15a",_LVq07kSMaKqIVn0me1NpY,_Jf7QD0G0X3t4g650OVkgc,,32. BA-Basics - subtract fractions then simplify,,,,
