Webwork Section,Webwork key,DoenetId,parentDoenetId,Level 1,Level 2,Level 3,Level 4,Level 5,
#N/A,,_IS6qs6YSC4bTfBDh13nd8,_mwdLZusUu441L1srRmuZZ,,21: BA-ExpLog - fraction raised to a negative rational exponent,,,,
#N/A,,_ngLdkzNepU0zDLBO4GlbJ,_mwdLZusUu441L1srRmuZZ,,Problem 22: BA-ExpLog,,,,
Properties of logarithms,17b,_ScbMmGHD3d5XsUVR7CwEO,_mwdLZusUu441L1srRmuZZ,,"23. BA-ExpLog: log base-10 of a fraction, powers of 10",,,,
Properties of logarithms,17b,_HfgG3ppEcu6Tmc6yKxtbs,_mwdLZusUu441L1srRmuZZ,,24. BA-ExpLog: log base-10 of 10^n,,,,
#N/A,,_q4OnNkEm0AJZ21Ab4MeEj,_mwdLZusUu441L1srRmuZZ,,Problem 25: BA-ExpLog,,,,
Properties of logarithms,17b,_4NKuG2N2xQhTIdp06ek97,_mwdLZusUu441L1srRmuZZ,,26. BA-ExpLog: Simplify the sum of two logarithms using properties,,,,
Properties of logarithms,17b,_PqvsNno67EqoLKZBAYPMJ,_mwdLZusUu441L1srRmuZZ,,27. BA-ExpLog: Simplify a difference of logarithmic terms using properties,,,,
#N/A,,_DKpfdpr1ED2k2HZei8G6I,_mwdLZusUu441L1srRmuZZ,,28. BA-ExpLog: Simplify a fraction * logarithmic term using properties (81),,,,
#N/A,,_lTwtyqIEmQuUvksugVVK1,_mwdLZusUu441L1srRmuZZ,,29. BA-ExpLog: Simplify a fraction * logarithmic term using properties (32),,,,
Properties of logarithms,17b,_0QwSWUDlly7K8lt6nnTAB,_mwdLZusUu441L1srRmuZZ,,30. BA-ExpLog: Simplify a fraction * logarithmic term using properties (64),,,,
Properties of logarithms,17b,_RGsHSimk4GHcV6FvtUkL1,_mwdLZusUu441L1srRmuZZ,,31. BA-ExpLog: log base 10 of a decimal fraction,,,,
#N/A,,_6J65mpj38FjW8au6Zc48U,_mwdLZusUu441L1srRmuZZ,,Problem 32: BA-ExpLog,,,,
Properties of logarithms,17b,_rR64FBkWmMzWjKb6ctX3N,_mwdLZusUu441L1srRmuZZ,,33. BA-ExpLog: Simplify an expression of the form log_x x^a,,,,
#N/A,,_hdQ9mZxT3jqDW71C2tzqD,_mwdLZusUu441L1srRmuZZ,,Problem 34: BA-ExpLog,,,,
#N/A,,_gjIlI7cSzMMOL3Q0ZIwUa,_mwdLZusUu441L1srRmuZZ,,Problem 35: BA-ExpLog,,,,
#N/A,,_EQhm3QYEzOzKEAu36pOW0,_mwdLZusUu441L1srRmuZZ,,36. BA-ExpLog:,,,,
Exponential and logarithmic equations,17d,_BR6ztBchNvwpgQONR9FtA,_mwdLZusUu441L1srRmuZZ,,"37. BA-ExpLog: Solve for x, given 10^x = a",,,,
Exponential and logarithmic equations,17d,_zCffaOVIuYkKyzVHOYgEO,_mwdLZusUu441L1srRmuZZ,,38. BA-ExpLog: log_10 x = -m,,,,
#N/A,,_XlEVui4rqa7iBXz61d4GP,_mwdLZusUu441L1srRmuZZ,,Problem 39: BA-ExpLog,,,,
#N/A,,_8Q0Iy1zrk9aJTKxpTqAZ5,_mwdLZusUu441L1srRmuZZ,,Problem 40: BA-ExpLoge,,,,
#N/A,,_6JO7rB4khfkI0q5bSEV1a,_mwdLZusUu441L1srRmuZZ,,Problem 41: BA-ExpLog,,,,
#N/A,,_cYtB1xlg3k1Ctqny1zXtk,_mwdLZusUu441L1srRmuZZ,,Problem 42: BA-ExpLog,,,,
Applications and models - compounding interest,17j,_rDdS5QhTrPEtDBLms8iOK,_mwdLZusUu441L1srRmuZZ,,"43. BA-ExpLog: Solve for r given A,P,t",,,,
#N/A,,_NlbzvFZkVZAxWgD4bCo6L,_mwdLZusUu441L1srRmuZZ,,Problem 44: BA-ExpLog,,,,
#N/A,,_vbgkSMz2icosKgh04BvSB,_mwdLZusUu441L1srRmuZZ,,Problem 45: BA-ExpLog,,,,
#N/A,,_ZR1pGAApJ1FF0NPhy2yDc,_mwdLZusUu441L1srRmuZZ,,Problem 46: BA-ExpLog,,,,
Applications and models - radioactive decay,17h,_8dnvMt5RbFX66mCakzvpR,_mwdLZusUu441L1srRmuZZ,,"47. BA-ExpLog: Radioactive decay, determine final amount after t years",,,,
Applications and models - radioactive decay,17h,_dv24yJAWKuN00VrvHVOC5,_mwdLZusUu441L1srRmuZZ,,"48. BA-ExpLog: Radioactive decay, determine half-life",,,,
Applications and models - radioactive decay,17h,_6k9KkN5EOntqQsuOQMHDT,_mwdLZusUu441L1srRmuZZ,,"49. BA-ExpLog: Radioactive decay, determine time to final amount",,,,
Applications and models - general,17i,_ofEt53tXuUTNRS6PQT8ad,_mwdLZusUu441L1srRmuZZ,,50. BA-ExpLog: Newton's Law of Cooling,,,,
#N/A,,_KBpuQzyA818k5v7Xntrs2,_mwdLZusUu441L1srRmuZZ,,Problem 51: BA-ExpLog,,,,
#N/A,,_0jtYHbUn4e5lgf12bEajf,,BA-Quadratics,,,,,
#N/A,,_9z8EgAE2FNEYslhGYrkxx,_0jtYHbUn4e5lgf12bEajf,,1. BA-Quadratics: find axis of symmetry given equation in general form,,,,
#N/A,,_IQSIydc7zb46TxZ7WesSY,_0jtYHbUn4e5lgf12bEajf,,2. BA-Quadratics: find axis of symmetry given equation - a not 1,,,,
#N/A,,_7ZsLK5NJjpL6rkv9sWuIL,_0jtYHbUn4e5lgf12bEajf,,3. BA-Quadratics: find vertex given equation - a = 1,,,,
#N/A,,_Axms083RPV0JqXyatbuVD,_0jtYHbUn4e5lgf12bEajf,,4. BA-Quadratics: find vertex given equation - a != 1,,,,
#N/A,,_EQUXHAAisZ7uAyyzzfKKz,_0jtYHbUn4e5lgf12bEajf,,5. BA-Quadratics: convert parabola given in vertex form to general form,,,,
#N/A,,_fYgRFbIMFMtqjsTdd2f9Y,_0jtYHbUn4e5lgf12bEajf,,6. BA-Quadratics: convert parabola in general to vertex form,,,,
#N/A,,_vUil4UJeW6q37BzFD6FPB,_0jtYHbUn4e5lgf12bEajf,,7. BA-Quadratics: determine vertex from equation in vertex form,,,,
#N/A,,_7wmkumuVHZUxwvQMXD3El,_0jtYHbUn4e5lgf12bEajf,,8. BA-Quadratics: find the maximum of a function,,,,
#N/A,,_NkWi6KkDGjV0HwjfjzZAk,_0jtYHbUn4e5lgf12bEajf,,9. BA-Quadratics: find the minimum of a function,,,,
#N/A,,_pnEB7dKyYx3qpXhOsmFrE,_0jtYHbUn4e5lgf12bEajf,,10. BA-Quadratics: Find the y-int of a parabola,,,,
#N/A,,_sf5lUal2TodkjblOsq2ka,_0jtYHbUn4e5lgf12bEajf,,11: BA-Quadratics - find y-intercept given roots and a = 0,,,,
#N/A,,_DldjvJk1uZwoXaMTj91A5,_0jtYHbUn4e5lgf12bEajf,,"12: BA-Quadratics - find b,c given roots and a = 1",,,,
#N/A,,_BuZmDX4L23TPp7kehXfpU,_0jtYHbUn4e5lgf12bEajf,,13: BA-Quadratics - compute root form given standard,,,,
#N/A,,_YhMsbLwutiHvTG9EHhumC,_0jtYHbUn4e5lgf12bEajf,,14: BA-Quadratics - find vertex given root form,,,,
#N/A,,_mguwuJNa7I61V9ri6vJlp,_0jtYHbUn4e5lgf12bEajf,,15. BA-Quadratics: parabola optimization - ball thrown upward,,,,
#N/A,,_PbWcfWBgpAj2C9WBHrdEw,_0jtYHbUn4e5lgf12bEajf,,16. BA-Quadratics: parabola optimization - maximize profit,,,,
#N/A,,_1krmZ7ibqfsGwMG2EAPNS,_0jtYHbUn4e5lgf12bEajf,,17. BA-Quadratics: solve quadratic equation by completing the square,,,,
#N/A,,_0PEBbHNCXCOXENG9a1WN3,_0jtYHbUn4e5lgf12bEajf,,18. BA-Quadratics: solve quadratic equation by completing the square,,,,
#N/A,,_PAOCTsaVPJQUZUpWAnp7V,_0jtYHbUn4e5lgf12bEajf,,19. BA-Quadratics: What is the constant k required to form a perfect square?,,,,
#N/A,,_E1mDjh39qgJo9aOZWoF4m,_0jtYHbUn4e5lgf12bEajf,,"20. BA-Quadratics: expand to find coefficients a, b, c",,,,
#N/A,,_vwY53dClkAtPsqQH4CkQW,_0jtYHbUn4e5lgf12bEajf,,21: BA-Quadratics - determine value of k to complete the square (vB),,,,
#N/A,,_SsOlC5HNOoEaR5Rpt3ZWn,_0jtYHbUn4e5lgf12bEajf,,22: BA-Quadratics - determine value of k to complete the square (vC),,,,
#N/A,,_e8XSU5fuc7S9SbIr6EWxN,_0jtYHbUn4e5lgf12bEajf,,23. BA-Quadratics: Solve quadratic eq by completing the square,,,,
#N/A,,_pyvHER8BkEdeTfGMQGcRw,_0jtYHbUn4e5lgf12bEajf,,24: BA-Quadratics - find coefficients in general form given standard form,,,,
#N/A,,_VKu3HfqzpY6FbeR08U4WG,_0jtYHbUn4e5lgf12bEajf,,25: BA-Quadratics - find coefficients in general form,,,,
#N/A,,_5cc9vHgcydDQkayQRKuK0,_0jtYHbUn4e5lgf12bEajf,,"26: BA-Quadratics - given nonstandard equation determine coefficients a,b,c",,,,
#N/A,,_ZwWInJAUd7hqa8CCVLsqr,_0jtYHbUn4e5lgf12bEajf,,Problem 27: BA-Quadratics,,,,
#N/A,,_gXJq9WatpwNnBLQit0Os2,_0jtYHbUn4e5lgf12bEajf,,Problem 28: BA-Quadratics,,,,
#N/A,,_rw9wzT62PttMnqfaw3Ky6,_0jtYHbUn4e5lgf12bEajf,,Problem 29: BA-Quadratics,,,,
#N/A,,_FLHHFGXWIG9tDuFdKpUkb,_0jtYHbUn4e5lgf12bEajf,,Problem 30: BA-Quadratics,,,,
#N/A,,_rcF9snABqyhmHicqQE1Iw,_0jtYHbUn4e5lgf12bEajf,,Problem 31: BA-Quadratics,,,,
#N/A,,_G6EY8bZI652UBYYSnfPCy,_0jtYHbUn4e5lgf12bEajf,,Problem 32: BA-Quadratics,,,,
#N/A,,_QH5phT3E1Y5BaYQkLk4Le,_0jtYHbUn4e5lgf12bEajf,,Problem 13A: find roots of a parabola given standard form,,,,
#N/A,,_oUIAuz2c4JdxNw4WupaD1,,BA-Functions,,,,,
#N/A,,_rkAehXoR7kWjAeviXJCjw,_oUIAuz2c4JdxNw4WupaD1,,Problem 1: BA-Functions,,,,
#N/A,,_UPCnVjogbFX14yiSVDVsy,_oUIAuz2c4JdxNw4WupaD2,,Problem 2: BA-Functions,,,,
#N/A,,_0BSKYnSR9cUjS0mPio4RX,_oUIAuz2c4JdxNw4WupaD3,,Problem 3: BA-Functions,,,,
#N/A,,_Goa7STuZ4QTvPubLK8yub,_oUIAuz2c4JdxNw4WupaD4,,Problem 4: BA-Functions,,,,
#N/A,,_kKN82Rf5ygvhWegI5UfVa,_oUIAuz2c4JdxNw4WupaD5,,Problem 5: BA-Functions,,,,
Domain and range,6d,_6eJ8TxCvjXU5ohGqKFIXb,_oUIAuz2c4JdxNw4WupaD6,,"6. BA-Functions - domain of rational fn, sqrt in denominator",,,,
Domain and range,6d,_MGFXK31CpRujOUxuEozAW,_oUIAuz2c4JdxNw4WupaD7,,"7. BA-Functions - domain of rational fn, sqrt in denominator",,,,
Domain and range,6d,_XePzTvv0kSOdy0Cnt4ZUn,_oUIAuz2c4JdxNw4WupaD8,,"8. BA-Functions - domain of rational fn, sqrt in denominator",,,,
Domain and range,6d,_ndnxetoHiPWXzRCpBBLLf,_oUIAuz2c4JdxNw4WupaD9,,"9. BA-Functions - domain of rational fn, sqrt in denominator",,,,
Domain and range,6d,_u0yDaPumwCrMmYHM8GSDh,_oUIAuz2c4JdxNw4WupaD10,,"10. BA-Functions - domain of rational fn, sqrt in denominator",,,,
#N/A,,_2x68X7nN6utbD23z7VHxD,_oUIAuz2c4JdxNw4WupaD11,,Problem 11: BA-Functions,,,,
#N/A,,_Qaqd28k1Yo6N7SSQVKyig,_oUIAuz2c4JdxNw4WupaD12,,Problem 12: BA-Functions,,,,
#N/A,,_DentrwjrwPN96kIUYDz4r,_oUIAuz2c4JdxNw4WupaD13,,Problem 13: BA-Functions,,,,
#N/A,,_VTy8GTbBin2SaNp2vf71x,_oUIAuz2c4JdxNw4WupaD14,,Problem 14: BA-Functions,,,,
#N/A,,_lfBSBnpRIpCIeGL6PzePI,_oUIAuz2c4JdxNw4WupaD15,,Problem 15: BA-Functions,,,,
#N/A,,_VQ4CoCVoh21rBz9bFDR0F,_oUIAuz2c4JdxNw4WupaD16,,Problem 16: BA-Functions,,,,
#N/A,,_nowL7KHvqD0KzNeaHduhj,_oUIAuz2c4JdxNw4WupaD17,,Problem 17: BA-Functions,,,,
#N/A,,_mrC6VoFvmPC2pDIoNYixU,_oUIAuz2c4JdxNw4WupaD18,,Problem 18: BA-Functions,,,,
#N/A,,_p4GHTm2gBzIoGDvn89MKE,_oUIAuz2c4JdxNw4WupaD19,,Problem 19: BA-Functions,,,,
#N/A,,_B19cgFMrOx7Tl48FgHx6x,_oUIAuz2c4JdxNw4WupaD20,,Problem 20: BA-Functions,,,,
#N/A,,_nb61T68EoAhq1A7wJnVnd,_oUIAuz2c4JdxNw4WupaD21,,Problem 21: BA-Functions,,,,
#N/A,,_oAw5YDTMdNwMKkkGWSVwk,_oUIAuz2c4JdxNw4WupaD22,,Problem 22: BA-Functions,,,,
#N/A,,_ZTk47BCG7Ws2SzeR5eB25,_oUIAuz2c4JdxNw4WupaD23,,Problem 23: BA-Functions,,,,
#N/A,,_QMBKbrR6XvwKPtDJU4OQD,_oUIAuz2c4JdxNw4WupaD24,,Problem 24: BA-Functions,,,,
#N/A,,_Nw0AniH6umzOc7HLxnPlQ,_oUIAuz2c4JdxNw4WupaD25,,Problem 25: BA-Functions,,,,
Compositions and combinations of functions,"6f, 6b",_zJF8Eqvv2xHFGfZZs1O8T,_oUIAuz2c4JdxNw4WupaD26,,26: BA-Functions - sum of two functions evaluated at distinct inputs,,,,
Function notation,6b,_KFdfckKZZKBReeo116BrI,_oUIAuz2c4JdxNw4WupaD27,,27. BA-Functions - evaluate a linear function at a given input,,,,
Function notation,6b,_Fd2uULxmd1BnHt7ntS32I,_oUIAuz2c4JdxNw4WupaD28,,28. BA-Functions - evaluate a quadratic function at a given input,,,,
Function notation,6b,_13rg5KFnipx90OC3cFhGQ,_oUIAuz2c4JdxNw4WupaD29,,29. BA-Functions - evaluate a linear function at a given input,,,,
Function notation,6b,_yYlRJ540jtdqYnGlUGGpT,_oUIAuz2c4JdxNw4WupaD30,,30. BA-Functions - evaluate a quadratic function,,,,
Function notation,6b,_yfJd6F6YZW6w4C12bsfsm,_oUIAuz2c4JdxNw4WupaD31,,31: BA-Functions - evaluate a rational function with linear terms,,,,
Function notation,6b,_0xcgoagBLKMnqZyAu6Kmu,_oUIAuz2c4JdxNw4WupaD32,,32. BA-Functions - evaluate a factored quadratic function,,,,
Compositions and combinations of functions,6f,_icaZtToRT6fFS0pTdlkE7,_oUIAuz2c4JdxNw4WupaD33,,33. BA-Functions - rearrange a function in terms of a substitution variable,,,,
Finding the inverse function,16b,_2IMifTPbtJVDyS5Db4LxT,_oUIAuz2c4JdxNw4WupaD34,,34. BA-Functions - Inverse of a linear function - multiple choice,,,,
Domain and range,6d,_h3Co5OUvL33PzYGpgIAg6,_oUIAuz2c4JdxNw4WupaD35,,35. BA-Functions - domain of a half-circle,,,,
Domain and range,6d,_w50I88S09Li6eCbGo3aHT,_oUIAuz2c4JdxNw4WupaD36,,36. BA-Functions - range of a half-circle,,,,
Domain and range,6d,_JKAOHmehji0CXPRlVSfwe,_oUIAuz2c4JdxNw4WupaD37,,37. BA-Functions - domain of a parabola,,,,
Domain and range,6d,_iHfhxlKWLwu9IkONzmK9P,_oUIAuz2c4JdxNw4WupaD38,,38. BA-Functions - range of a parabola,,,,
Domain and range,6d,_RiFPJ0mGTodKVkFYtW55K,_oUIAuz2c4JdxNw4WupaD39,,39. BA-Fns: Mult-choice find domain,,,,
Finding the inverse function,16b,_OgXnfGQu3r4wqfeuWqcbM,_oUIAuz2c4JdxNw4WupaD40,,40. BA-Fns: Mult-choice find inverse,,,,
Compositions and combinations of functions,6f,_12f5eHrToZp0zw571WzFq,_oUIAuz2c4JdxNw4WupaD41,,41. BA-Fns: Mult-choice function composition,,,,
Finding the inverse function,16b,_f6F9Nv3Xjgb1EcHiVoSrA,_oUIAuz2c4JdxNw4WupaD42,,42. BA-Functions - compute inverse of a linear function,,,,
Finding the inverse function,16b,_Wt1r2yAKvRwgPb7P03gLm,_oUIAuz2c4JdxNw4WupaD43,,43. BA-Functions - inverse of a rational function,,,,
Graphs,6c,_lveyG2SaHyWDJBhpsZj49,_oUIAuz2c4JdxNw4WupaD44,,44. BA-Functions - Increasing or decreasing at a given input,,,,
Graphs,6c,_rjYkvwbu2VtD6liHZdGyP,_oUIAuz2c4JdxNw4WupaD45,,45. BA-Functions - Increasing or decreasing at a given input,,,,
Finding the inverse function,16b,_4fsRI310ozmtOCXQaAkgP,_oUIAuz2c4JdxNw4WupaD46,,46. BA-Functions - inverse of a square root function,,,,
Finding the inverse function,16b,_Jj7EHbzRbtHItk3wDE3sY,_oUIAuz2c4JdxNw4WupaD47,,47. BA-Functions - inverse of a square root function,,,,
Compositions and combinations of functions,6f,_3j9rane0WvL4xYPlhmuLu,_oUIAuz2c4JdxNw4WupaD48,,48. BA-Fns: function composition evaluated at given input,,,,
Piecewise functions,6e,_BAqETwFJfZGvA4Ax5QG6I,_oUIAuz2c4JdxNw4WupaD49,,49. BA-Fns: Evaluate a piecewise fn at 3 given inputs,,,,
Piecewise functions,6e,_f8aob79eIYrXF0UX8PThT,_oUIAuz2c4JdxNw4WupaD50,,50. BA-Fns: Evaluate a piecewise fn at 3 given inputs,,,,
#N/A,,_mUrJugWKbpu5eUl4pnbBB,,BA-MultChoice,,,,,
Simplify rational expressions,10f,_8FjabcR8EZQLmYLl3uV8j,_mUrJugWKbpu5eUl4pnbBB,,1. BA-MultChoice - simplify complex fraction,,,,
Linear systems,13a,_0LhAHxaMclYYD13HO0qdm,_mUrJugWKbpu5eUl4pnbBB,,2. BA-MultChoice - intersection of lines,,,,
Simplifying expressions,1e,_yVhXDE7DPBDZq5KqW9IrU,_mUrJugWKbpu5eUl4pnbBB,,3. BA-MultChoice - expanding polynomials,,,,
#N/A,,_5OujyNrm9vBCqqabUmarK,,BA-RatExp,,,,,
#N/A,,_B4GfGa9u2NOMFTxhICLxh,,BA-Conics,,,,,
#N/A,,_z43LODyB9X7t1VGOQT0Ac,,TR-Conics,,,,,
Circles,19b,_w0chdg1OsN19ymo7Iofxq,_z43LODyB9X7t1VGOQT0Ac,,"1. TR-Conics: Given equation of a circle in standard form, find center and radius",,,,
Circles,19b,_21vnSR30tLmYOerKR0ceA,_z43LODyB9X7t1VGOQT0Ac,,"2. TR-Conics: Given the graph of a circle, determine h,k,r",,,,
Circles,19b,_GB7RW4ByTPLiF8BJ7zVaH,_z43LODyB9X7t1VGOQT0Ac,,"3: TR-Conics - find h,k, r of a circle in normalized standard form",,,,
Circles,19b,_Y7f6mEXtiqpcUB42JRblQ,_z43LODyB9X7t1VGOQT0Ac,,4. TR-Conics - determine center of circle given equation,,,,
#N/A,,_ja006a8jZj6ZwVYIJTJ48,_z43LODyB9X7t1VGOQT0Ac,,Problem 5: TR-Conics,,,,
Circles,19b,_WrvvKkqgbno3YloiqypWT,_z43LODyB9X7t1VGOQT0Ac,,6. TR-Conics - match equation of circle to graph - T or F,,,,
Circles,19b,_1mwdRJt3pea5MnFGqMzb3,_z43LODyB9X7t1VGOQT0Ac,,7. TR-Conics - match equation of circle to graph - T or F,,,,
Ellipses,19c,_6KCvtQHCg6hthqQBQ63n8,_z43LODyB9X7t1VGOQT0Ac,,8: TR-Conics - determine parameters from graph of an ellipse,,,,
Ellipses,19c,_huvzLcqMDjq0vh1NHb2Ji,_z43LODyB9X7t1VGOQT0Ac,,"9: TR-Conics - given graph of ellipse with critical points, determine parameters",,,,
Ellipses,19c,_nylkwWXoG2ZcjrDOjG63V,_z43LODyB9X7t1VGOQT0Ac,,"10: TR-Conics - given normalized equation of an ellipse, determine parameters",,,,
Ellipses,19c,_8KpfImhvRlTts83R3SoYZ,_z43LODyB9X7t1VGOQT0Ac,,"11: TR-Conics - Given equation of an ellipse, determine parameters",,,,
Intersections of conics,19e,_7OkC04QmJIA9euIBEua65,_z43LODyB9X7t1VGOQT0Ac,,12. TR-Conics - Intersection of line with ellipse - single variant,,,,
Intersections of conics,19e,_Zg0sl6td2lBKqW0btwSTt,_z43LODyB9X7t1VGOQT0Ac,,13. TR-Conics -  Intersection of line with ellipse - single variant,,,,
Parabolas,19a,_nJzaAlSBJcrCSCQrava1G,_z43LODyB9X7t1VGOQT0Ac,,14. TR-Conics: write equation in vertex form given graph of a parabola,,,,
Parabolas,19a,_NSB7xwQSUtxt0mCcQFwih,_z43LODyB9X7t1VGOQT0Ac,,15: TR-Conics - determine equation from graph of horizontal parabola - vertex form,,,,
Parabolas,19a,_4Lg6v5kmytRPamMTnJAGZ,_z43LODyB9X7t1VGOQT0Ac,,16. TR-Conics: write equation in vertex form given graph of a parabola,,,,
Parabolas,19a,_b0lkxx0dgC6GYTaRT1NtA,_z43LODyB9X7t1VGOQT0Ac,,17: TR-Conics - Determine equation given graph of horizontal parabola in vertex form,,,,
Graphs,"9h, 19a",_hLGWJPh5Vl94vXrTDAKOW,_z43LODyB9X7t1VGOQT0Ac,,18. TR-Conics - find x-coordinate of vertex of a parabola,,,,
Hyperbolas,19d,_NcPfr2hdOFJKvAVnGIG3C,_z43LODyB9X7t1VGOQT0Ac,,Problem 19: TR-Conics - hyperbola given graph determine equation parameters,,,,
Hyperbolas,19d,_ok3SU6WLGpgkeNPsVfT5t,_z43LODyB9X7t1VGOQT0Ac,,Problem 20: TR-Conics - hyperbola given graph determine equation parameters,,,,
Circles,19b,_qaInQLSBBNsLsDDKQsxoA,_z43LODyB9X7t1VGOQT0Ac,,21. TR-Conics: complete the square to find center and radius of a circle,,,,
Ellipses,19c,_UKqAk10CaavbwXvhNiuyP,_z43LODyB9X7t1VGOQT0Ac,,22. TR-Conics - complete the square to write ellipse in standard form,,,,
Completing the square,"9b, 19a",_QuhqJm3hv9eIZMPQGeGx7,_z43LODyB9X7t1VGOQT0Ac,,23. TR-Conics - complete the square to write equation of parabola in vertex form,,,,
Hyperbolas,19d,_6GQ8cfN9nP3fC15HJUTTX,_z43LODyB9X7t1VGOQT0Ac,,24. TR-Conics - complete the square - hyperbola in standard form,,,,
#N/A,,_uDYb2qs7f8wau2KNXzYpC,_z43LODyB9X7t1VGOQT0Ac,,Problem 25: TR-Conics,,,,
Parabolas,"19a, 9b",_7QOKCyMaZYBVUQz0waQdv,_z43LODyB9X7t1VGOQT0Ac,,26: TR-Conics - rewrite quadratic by completing the square,,,,
Parabolas,"19a, 9b",_KlRNyZ0GnnrSOp83FuU30,_z43LODyB9X7t1VGOQT0Ac,,27: TR-Conics - rewrite quadratic by completing the square - a not 1,,,,
Parabolas,"19a, 9b",_N07vMSYdF6WxeejRcrzlD,_z43LODyB9X7t1VGOQT0Ac,,28: TR-Conics - find final term to make a perfect square,,,,
Parabolas,"19a, 9b",_CjwYPrxeEdWhFU9OzCq59,_z43LODyB9X7t1VGOQT0Ac,,29: TR-Conics - find final term to make a perfect square - a not 1,,,,
Parabolas,"19a, 19b, 19c",_Nqd4mCxcd89MG7whcUj5f,_z43LODyB9X7t1VGOQT0Ac,,30. TR-Conics - select shape of conic given equation,,,,
Polar or parametric form,"19f, 8k",_J2YX9BGOnS7k9k3jcRKnV,_z43LODyB9X7t1VGOQT0Ac,,Problem 31: TR-Conics - parametric equation of a line segment,,,,
Polar or parametric form,19f,_4QMT1cixCJJT56kYtA1Cu,_z43LODyB9X7t1VGOQT0Ac,,Problem 32: TR-Conics - parametric equation of an ellipse,,,,
Polar or parametric form,19f,_D7582WTCYELT9e0W8dgbz,_z43LODyB9X7t1VGOQT0Ac,,Problem 33: TR-Conics - parametric equation of a cycloid,,,,
Intersections of conics,19e,_ivLcPsqm5dxDM19uEGFMG,_z43LODyB9X7t1VGOQT0Ac,,Problem 34: TR-Conics - Find intersection of a parabola with a line,,,,
Intersections of conics,19e,_vhb3ZFmQXDnufxwJFTjqb,_z43LODyB9X7t1VGOQT0Ac,,Problem 35: TR-Conics - find the intersections of a circle with a line,,,,
Intersections of conics,19e,_R3DN6p325T50CTclhbSMg,_z43LODyB9X7t1VGOQT0Ac,,Problem 36: TR-Conics - circle parabola intersection,,,,
#N/A,,_ziS8A02W4u7OYLHN45lcH,_z43LODyB9X7t1VGOQT0Ac,,Problem 37: TR-Conics - future - circle parabola intersection with variants,,,,
#N/A,,_oR0Vb4HVewnbzk7sudjkq,,TR-SysOfEq,,,,,
Linear systems,13a,_fusBN8IQgIsx3RzsUKuCQ,_oR0Vb4HVewnbzk7sudjkq,,1. TR-SysOfEq: find solution to 2x2 system,,,,
Linear systems,13a,_lQMD2dX5H9t4JuJBmmqpC,_oR0Vb4HVewnbzk7sudjkq,,2. TR-SysOfEq: find solution to 2x2 system,,,,
Linear systems,13a,_3DDmvIob4qCxKCkvSdoTj,_oR0Vb4HVewnbzk7sudjkq,,3. TR-SysOfEq: find solution to 2x2 system,,,,
Linear systems,13a,_dZDIt03kE9I5tTbtUUkGP,_oR0Vb4HVewnbzk7sudjkq,,4: TR-SysOfEq - find sol to 2x2 system,,,,
Linear systems,13a,_UyqPmbRVIJRRkTJnvHw4Q,_oR0Vb4HVewnbzk7sudjkq,,5: TR-SysOfEq - find number of sols to a 2x2,,,,
#N/A,,_fabmUuT5ftZ4vATFdgQUm,_oR0Vb4HVewnbzk7sudjkq,,5a: TR-SysOfEq - variant a of 5,ignore for library,,,
#N/A,,_Wcq7tUGqpoFYO3xPa3WAg,_oR0Vb4HVewnbzk7sudjkq,,5b. TR-SysOfEq: - variant b of 5,ignore for library,,,
Linear systems,13a,_JqPf4fXXPFI8jsKpY6fOy,_oR0Vb4HVewnbzk7sudjkq,,6: TR-SysOfEq - find number of sols to a 2x2,,,,
#N/A,,_wPvUteebPczlf72MRAYJq,_oR0Vb4HVewnbzk7sudjkq,,6a: TR-SysOfEq - variant a of 6,ignore for library,,,
#N/A,,_I1L5HidoU7gV9gTaal7tM,_oR0Vb4HVewnbzk7sudjkq,,6b. TR-SysOfEq - variant b of 6,ignore for library,,,
Linear systems,13a,_c3v5jq11nRU8wlokaXExl,_oR0Vb4HVewnbzk7sudjkq,,7: TR-SysOfEq - find number of solutions to a 2x2,,,,
Linear systems,13a,_5hrGbglwCmIWYWVWUgofN,_oR0Vb4HVewnbzk7sudjkq,,8: TR-SysOfEq - find sol to 3x3 system,,,,
Linear systems,13a,_bo9vKWiVr4EHR76xYw9T4,_oR0Vb4HVewnbzk7sudjkq,,9: TR-SysOfEq - find sol to 3x3 system,,,,
Nonlinear systems,13b,_GY6sfPaOIBcb1FuxUBix2,_oR0Vb4HVewnbzk7sudjkq,,10: TR-SysOfEq - x-coord of intersections of quadratic and linear,,,,
Nonlinear systems,13b,_OIqvSDyqYBkF0k2LAdhJQ,_oR0Vb4HVewnbzk7sudjkq,,11. TR-SysOfEq - x-coord of intersections of circle and linear,,,,
#N/A,,_8GIBmTAa99YyzZ0F3IMEW,_oR0Vb4HVewnbzk7sudjkq,,Problem 12: TR-SysOfEq,,,,
#N/A,,_WhUi8ztakkPmeArAz1Ptw,_oR0Vb4HVewnbzk7sudjkq,,Problem 13: TR-SysOfEq,,,,
#N/A,,_jtYuE4ugcqk3Qc5myiSZt,,TR-Series,,,,,
Arithmetic,18b,_hLaBzJvlm4lcwTJw5uQuV,_jtYuE4ugcqk3Qc5myiSZt,,1. TR-Series: arithmetic - given explicit formula find a_n,,,,
